word_id,english,arabic,wlasl_class,karsl_class,category
0,drink,يشرب,1,161,verb
1,chair,كرسي,4,328,object
2,help,يساعد,12,182,verb
3,thin,نحيف,14,228,adjective
4,walk,يمشي,15,173,verb
5,mother,أم,25,196,family
6,table,طاولة,28,325,object
7,bed,سرير,32,306,object
8,family,أسرة,37,192,family
9,man,رجل,45,202,family
10,tall,طويل,48,226,adjective
11,doctor,طبيب,60,497,health
12,eat,يأكل,61,160,verb
13,short,قصير,72,227,adjective
14,medicine,دواء,89,132,health
15,right,يمين,95,288,direction
16,son,ابن,97,216,family
17,brother,أخ,107,198,family
18,door,باب,113,302,object
19,knife,سكين,119,316,object
20,headache,صداع,117,115,health
21,room,غرفة,126,304,object
22,sick,مريض,129,134,health
23,teacher,معلم,133,491,job
24,daughter,ابنة,151,217,family
25,friend,صديق,155,294,family
26,happy,سعيد,157,238,adjective
27,cold,بارد,147,113,health
28,open,يفتح,933,169,verb
29,close,يقفل,195,170,verb
30,sleep,ينام,326,162,verb
31,think,يفكر,334,181,verb
32,child,طفل,370,223,family
33,hospital,مستشفى,404,92,health
34,pain,ألم,937,116,health
35,love,يحب,561,174,verb
36,hate,يكره,709,175,verb
37,key,مفتاح,1150,346,object
38,left,يسار,1153,287,direction
39,inside,داخل,717,281,direction
40,outside,خارج,570,279,direction
41,under,تحت,1267,277,direction
42,up,فوق,793,282,direction
43,here,هنا,212,285,direction
44,there,هناك,458,286,direction
45,near,قريب,303,283,direction
46,far,بعيد,153,275,direction
47,engineer,مهندس,1386,459,job
48,lawyer,محامي,913,500,job
49,nurse,ممرضة,310,498,health
50,welcome,أهلاً وسهلاً,1033,289,social
51,thank you,شكراً,333,293,social
52,wedding,زواج,624,206,social
53,divorce,طلاق,274,219,social
54,party,حفلة,230,221,social
55,god,الله,542,356,religion
56,religion,دين,583,439,religion
57,fire,النار,1748,430,religion
58,beautiful,جميل,817,224,adjective
59,ugly,قبيح,252,225,adjective
60,rich,غني,969,230,adjective
61,poor,فقير,435,231,adjective
62,camera,كاميرا,830,340,object
63,television,تلفزيون,786,336,object
64,telephone,هاتف,1010,341,object
65,kitchen,مطبخ,411,312,object
66,bathroom,حمام,142,327,object
67,window,شباك,178,303,object
68,house,بيت,214,299,object
69,father,أب,280,195,family
70,sister,أخت,325,197,family
71,baby,رضيع,259,200,family
72,grandfather,جد,544,194,family
73,grandmother,جدة,704,193,family
74,uncle,عم,467,209,family
75,aunt,عمة,483,210,family
76,cousin,ابن العم,9,215,family
77,smoke,يدخن,1934,183,verb
78,build,يبني,661,171,verb
79,break,يكسر,825,172,verb
80,support,يدعم,1001,184,verb
81,choose,يختار,371,185,verb
82,call,ينادي,145,186,verb
83,plant,يزرع,1485,178,verb
84,swim,يسبح,1006,417,verb
85,pray,يصلي,947,365,religion
86,heart,قلب,287,88,health
87,allergy,حساسية,808,130,health
88,diabetes,سكري,1370,121,health
89,infection,عدوى,1427,114,health
90,muscle,عضلة,732,90,health
91,skeleton,هيكل عظمي,1230,71,health
92,thermometer,ميزان حرارة,1014,104,health
93,pilot,طيار,1864,485,job
94,farmer,فلاح,1396,493,job
95,manager,مدير,1162,471,job
96,policeman,ضابط,1867,484,job
97,firefighter,رجل إطفاء,1749,489,job
98,photographer,مصور,943,460,job
99,chef,طباخ,83,492,job
100,twin,توأم,1583,214,family
101,nephew,ابن الأخ,304,211,family
102,people,ناس,429,201,family
103,pregnant,حامل,1191,220,family
104,young,شاب,630,229,adjective
105,wake up,يستيقظ,1588,164,verb
106,hear,يسمع,211,180,verb
107,enter,يدخل,525,168,verb
108,stand,يقف,779,167,verb
109,grow,ينمو,892,179,verb
110,cry,يبكي,111,176,verb
111,believe,يؤمن,359,188,verb
112,feel,يشعر,205,177,verb
113,afraid,خائف,1291,244,adjective
114,brave,شجاع,1058,239,adjective
115,humble,متواضع,289,246,adjective
116,proud,فخور,1503,240,adjective
117,selfish,أناني,1218,242,adjective
118,jealous,غيور,409,243,adjective
119,smart,ذكي,592,233,adjective
120,patient,صبور,313,235,adjective
121,confused,مرتبك,1350,247,adjective
122,disgusted,مشمئز,1713,248,adjective
123,honest,صادق,1139,237,adjective
124,strong,قوي,606,232,adjective
125,bedroom,غرفة نوم,488,305,object
126,spoon,ملعقة,1552,317,object
127,fork,شوكة,1116,318,object
128,cup,كوب,374,319,object
129,wall,جدار,1269,315,object
130,roof,سقف,970,301,object
131,plate,صحن,1187,320,object
132,towel,منشفة,1975,322,object
133,electricity,كهرباء,1728,339,object
134,surgery,جراحة,457,135,health
135,diarrhea,إسهال,859,122,health
136,drug,عقار,1720,133,health
137,face,وجه,530,83,health
138,between,بين,1634,278,direction
139,back,خلف,260,280,direction
140,around,حول,1307,276,direction
141,through,عبر,1255,274,direction
142,front,أمام,540,273,direction
143,side,جانب,983,284,direction
144,soldier,جندي,1936,486,job
145,gift,هدية,1762,295,social
146,engagement,خطبة,1385,207,social
147,death,موت,1699,222,social
148,fault,خطأ,281,296,social
149,travel,سفر,177,418,verb
150,church,كنيسة,372,440,religion
151,angel,ملاك,477,441,religion
152,heaven,الجنة,1132,442,religion
153,spirit,روح,777,443,religion
154,christian,مسيحي,1071,444,religion
155,jewish,يهودي,1148,445,religion
156,forgive,يغفر,1753,446,religion
